ID;Strassenname;PLZ;Region
394;Tempelhofer Damm 215-219;12099;Berlin-Tempelhof
395;Säntisstr. 49;12277;Berlin-Marienfelde
396;Hinrichsdorfer Str. 13B;18146;Rostock-Dierkow
397;Markstr. 39-42;13409;Berlin-Reinickendorf
398;Tempelhofer Damm 130;12099;Berlin-Tempelhof
399;Nuthestr. 5;12307;Berlin-Lichtenrade
400;Berliner Damm 159-161;15831;Mahlow
401;Luisenstr. 52;10117;Berlin-Mitte
402;Reinickendorfer Str. 41/ Wiesenstr. 31;13347;Berlin-Mitte
403;Stresemannstr. 72-78;10963;Berlin-Kreuzberg
404;Lichtenrader Damm 219;12305;Berlin-Lichtenrade
405;Quickborner Str. 66-70;13439;Berlin-Reinickendorf
406;Provinzstr. 30;13409;Berlin-Mitte
407;Badstr. 60;13357;Berlin-Mitte
408;Charlottenstr. 2;10969;Berlin-Kreuzberg
409;Prinzenallee 75-77;13357;Berlin-Mitte
410;Leipziger Str. 45B;10117;Berlin-Mitte
411;Swienskuhlenstr. 6;18147;Rostock
412;Brunnenstr. 87;13355;Berlin-Mitte
413;Oberlandstr. 17;12099;Berlin-Tempelhof
414;Hauptstr. 67;15936;Dahme
415;Warmensteinacher Str. 57;12349;Berlin-Neukölln
416;Stubenrauchstr. 25A;15806;Zossen
417;Heinrich-Heine-Str. 70;10179;Berlin-Mitte
418;Bornholmer Str. 65;10439;Berlin-Pankow
419;Grabbeallee 27/29;13156;Berlin-Pankow
420;Oranienplatz 4;10999;Berlin-Kreuzberg
421;Choriner Str. 64/64A;10435;Berlin-Pankow
422;Tempelhofer Weg 14;12347;Berlin-Tempelhof
423;Kottbusser Str. 16A;10999;Berlin-Kreuzberg
424;Buckower Damm 194;12349;Berlin-Neukölln
425;Holzmarktstr. 3;10179;Berlin-Mitte
426;Hermannstr. 55;12049;Berlin-Neukölln
427;Dietzgenstr. 102;13158;Berlin-Pankow
428;Berliner Str. 27-28;13189;Berlin-Pankow
429;Gutschmidtstr. 101;12359;Berlin-Neukölln
430;Glasower Str. 42;12051;Berlin-Neukölln
431;Maybachufer 32-33;12047;Berlin-Neukölln
432;Flughafenstr. 1;12053;Berlin-Neukölln
433;Prenzlauer Allee 44;10405;Berlin-Prenzlauer Berg
434;Wisbyer Str. 16;10439;Berlin-Pankow
435;Zeughofstr. 23A;10997;Berlin-Kreuzberg
