JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2014;030000000000;Niedersachsen;20316.0;6.5;9.9;19.1;37.2;15.6;16662.0;15430.0;1040.0;192.0;13379.0;3135266.0;13.9;1.0;59.9;22.1
2015;030000000000;Niedersachsen;20823.0;6.1;9.8;19.7;37.8;17.6;15869.0;14849.0;805.0;215.0;10984.0;2518901.0;14.0;1.0;59.8;22.1
2010;031000000000;Braunschweig, Stat. Region;18460.0;;9.6;14.7;34.7;11.6;4080.0;3841.0;188.0;51.0;2323.0;571498.0;13.9;1.3;49.2;34.4
2011;031000000000;Braunschweig, Stat. Region;19101.0;;9.1;16.7;36.0;11.8;3816.0;3615.0;153.0;48.0;1420.0;470851.0;13.9;1.3;49.1;34.5
2012;031000000000;Braunschweig, Stat. Region;19795.0;;8.8;18.0;34.4;12.0;3657.0;3467.0;160.0;30.0;2395.0;576469.0;13.9;1.3;49.1;34.6
2013;031000000000;Braunschweig, Stat. Region;20201.0;;8.9;18.4;34.3;12.6;3516.0;3346.0;122.0;48.0;2063.0;429639.0;14.0;1.3;49.0;34.7
2014;031000000000;Braunschweig, Stat. Region;20565.0;;8.7;19.2;37.8;13.7;3106.0;2932.0;154.0;20.0;2034.0;309466.0;14.0;1.3;48.9;34.7
2015;031000000000;Braunschweig, Stat. Region;21124.0;;8.6;19.9;37.9;15.6;2844.0;2698.0;113.0;33.0;1855.0;279079.0;14.1;1.3;48.8;34.7
2010;031010000000;Braunschweig, Kreisfreie Stadt;18878.0;8.9;7.3;14.7;32.9;15.4;648.0;609.0;27.0;12.0;315.0;101921.0;46.5;7.2;37.2;13.1
2011;031010000000;Braunschweig, Kreisfreie Stadt;19398.0;8.1;7.4;16.3;35.3;15.7;643.0;604.0;26.0;13.0;205.0;78558.0;46.5;7.1;37.2;13.2
