AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1054057;Immenstedt;681;354;327;;;;;;
1;Schleswig-Holstein;1054059;Joldelund;761;385;376;;;;;;
1;Schleswig-Holstein;1054061;Kampen (Sylt);515;251;264;;;;;;
1;Schleswig-Holstein;1054062;Karlum;219;106;113;;;;;;
1;Schleswig-Holstein;1054063;Katharinenheerd;176;84;92;;;;;;
1;Schleswig-Holstein;1054065;Klanxbüll;953;460;493;;;;;;
1;Schleswig-Holstein;1054068;Klixbüll;949;493;456;;;;;;
1;Schleswig-Holstein;1054070;Koldenbüttel;917;458;459;;;;;;
1;Schleswig-Holstein;1054071;Kolkerheide;55;27;28;;;;;;
1;Schleswig-Holstein;1054072;Kotzenbüll;227;117;110;;;;;;
1;Schleswig-Holstein;1054073;Ladelund; 1 387;686;701;;;;;;
1;Schleswig-Holstein;1054074;Langeneß;134;68;66;;;;;;
1;Schleswig-Holstein;1054075;Langenhorn; 3 113; 1 542; 1 571;;;;;;
1;Schleswig-Holstein;1054076;Leck; 7 716; 3 746; 3 970;;;;;;
1;Schleswig-Holstein;1054077;Lexgaard;54;33;21;;;;;;
1;Schleswig-Holstein;1054078;List; 1 560;773;787;;;;;;
1;Schleswig-Holstein;1054079;Löwenstedt;657;337;320;;;;;;
1;Schleswig-Holstein;1054080;Lütjenholm;321;168;153;;;;;;
1;Schleswig-Holstein;1054083;Midlum;401;168;233;;;;;;
1;Schleswig-Holstein;1054084;Mildstedt; 3 804; 1 797; 2 007;;;;;;
1;Schleswig-Holstein;1054085;Nebel;960;435;525;;;;;;
1;Schleswig-Holstein;1054086;Neukirchen; 1 243;626;617;;;;;;
1;Schleswig-Holstein;1054087;Nieblum;606;282;324;;;;;;
1;Schleswig-Holstein;1054088;Niebüll, Stadt; 9 574; 4 570; 5 004;;;;;;
1;Schleswig-Holstein;1054089;Norddorf auf Amrum;572;263;309;;;;;;
1;Schleswig-Holstein;1054090;Norderfriedrichskoog;49;28;21;;;;;;
1;Schleswig-Holstein;1054091;Nordstrand; 2 254; 1 071; 1 183;;;;;;
1;Schleswig-Holstein;1054092;Norstedt;432;220;212;;;;;;
1;Schleswig-Holstein;1054093;Ockholm;341;179;162;;;;;;
1;Schleswig-Holstein;1054094;Oevenum;458;212;246;;;;;;
1;Schleswig-Holstein;1054095;Oldenswort; 1 269;646;623;;;;;;
1;Schleswig-Holstein;1054096;Oldersbek;662;352;310;;;;;;
1;Schleswig-Holstein;1054097;Olderup;437;222;215;;;;;;
1;Schleswig-Holstein;1054098;Oldsum;562;258;304;;;;;;
1;Schleswig-Holstein;1054099;Ostenfeld (Husum); 1 530;749;781;;;;;;
